method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-SMC,614133.072407045,0.8607565773443233,6276440.0,8.796932220458984,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,615753.4246575342,0.8616937583206685,6293000.0,8.806510210037231,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,614966.8615984406,0.8592774063987806,6309560.0,8.81618618965149,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,616580.8966861598,0.8603527531986348,6326120.0,8.827219247817993,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,614600.7751937985,0.8563327927922094,6342680.0,8.8373544216156,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,615013.5396518375,0.8556407701577162,6359240.0,8.847325563430786,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,616615.087040619,0.856563201033631,6375800.0,8.856863498687744,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,617023.166023166,0.8558769713957798,6392360.0,8.866885423660278,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,618621.6216216217,0.8568230052712341,6408920.0,8.876686334609985,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,620220.0772200772,0.8578405647204189,6425480.0,8.88722825050354,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,621818.5328185329,0.8587982893910647,6442040.0,8.89715027809143,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,623416.9884169884,0.8597735732678742,6458600.0,8.907254219055176,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,625015.444015444,0.8607050396760919,6475160.0,8.916904211044312,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,624203.8461538461,0.858371532880343,6491720.0,8.927063941955566,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,625796.1538461539,0.8592926768156198,6508280.0,8.936643838882446,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,627388.4615384616,0.8602557503260099,6524840.0,8.946659803390503,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,628980.7692307692,0.861236796929286,6541400.0,8.956862688064575,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,630573.0769230769,0.8621739194943354,6557960.0,8.966608762741089,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,632165.3846153846,0.863116796200092,6574520.0,8.976414680480957,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,633757.6923076923,0.8640607503744272,6591080.0,8.986231803894043,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,635350.0,0.8650395044913658,6607640.0,8.996410846710205,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,635719.7696737044,0.8642946003494701,6624200.0,9.00594973564148,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,636088.1226053638,0.8635910763137641,6640760.0,9.015890836715698,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,635240.4580152673,0.8612735580852013,6657320.0,9.02614688873291,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,635607.619047619,0.8605791500636509,6673880.0,9.036081075668335,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,637184.7619047619,0.861527647290911,6690440.0,9.046040296554565,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,638761.9047619049,0.8624337287176222,6707000.0,9.055554151535034,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,640339.0476190476,0.8633894466218495,6723560.0,9.065589189529419,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,640695.8174904942,0.8626565960423574,6740120.0,9.0751473903656,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,642269.9619771863,0.8635862698573123,6756680.0,9.084927558898926,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,642622.3908918404,0.8630281607611581,6773240.0,9.096316814422607,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,642973.4848484849,0.8623189321070007,6789800.0,9.106087923049927,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
