method,n_sim,time,epsilon,kl_sigma2,kl_joint,K,K_outliers,include_osum,seed
ABC-SMC,722242.1052631579,303.0133874792802,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,719979.1666666666,299.89357317487395,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,717762.8865979381,296.8372126215512,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,722969.0721649484,296.87313271552017,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,713464.6464646464,290.9109748975195,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,718565.6565656565,290.94673961099954,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,716430.0,288.07401168346405,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,714336.6336633663,285.2570174944283,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,719336.6336633663,285.291070985322,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,717235.2941176471,282.52894691392487,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,722186.2745098039,282.56330186245486,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,713153.8461538462,277.162216259883,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,704462.2641509434,271.9659319463766,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,696092.5925925926,267.0439845985836,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,700768.5185185184,267.07686980565387,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,686378.3783783783,259.8904670895757,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,684758.9285714285,257.6018334499428,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,689267.8571428572,257.6336116663047,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,681605.2631578946,253.1463746438946,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,668444.4444444444,246.6865877819876,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,661453.781512605,242.571214868241,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,660150.0,240.57837347189584,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,664358.3333333334,240.60742805401483,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,668566.6666666667,240.63684552907944,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,661745.9016393443,236.75310553097333,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,655145.1612903225,232.96279618816993,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,653944.0,231.12672147750854,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
