method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-SMC,30435.12974051896,3.6316663681152104,11.526424317857993,20,4,True,0
ABC-SMC,31764.940239043823,3.8518295820015833,11.470400616113015,20,4,True,0
ABC-SMC,33087.64940239044,4.073316998690722,11.405808417348497,20,4,True,0
ABC-SMC,34071.14624505928,4.2820596412236505,11.333303343994782,20,4,True,0
ABC-SMC,35183.43195266272,4.498074040610409,11.236716924144135,20,4,True,0
ABC-SMC,36303.74753451677,4.709001241115894,11.181172101203627,20,4,True,0
ABC-SMC,37149.01960784314,4.904818277732999,11.108132715652532,20,4,True,0
ABC-SMC,38082.191780821915,5.126770975071857,11.015402938411345,20,4,True,0
ABC-SMC,78390.80459770114,10.053133964538572,10.979248091500722,20,4,True,0
ABC-SMC,82034.48275862067,10.488557678529585,10.94608283035007,20,4,True,0
ABC-SMC,83894.73684210527,10.799185539546766,10.875256963743858,20,4,True,0
ABC-SMC,86797.75280898876,11.192266860704743,10.844096454863532,20,4,True,0
ABC-SMC,88535.0553505535,11.457118424982163,10.812689113733288,20,4,True,0
ABC-SMC,91409.59409594096,11.867776392130835,10.768743381264402,20,4,True,0
ABC-SMC,93797.79411764706,12.249563590568654,10.722638826362513,20,4,True,0
ABC-SMC,95686.13138686132,12.579261647523754,10.668488545552202,20,4,True,0
ABC-SMC,98135.03649635037,12.98225034762473,10.623466106008612,20,4,True,0
ABC-SMC,100463.50364963504,13.38227099745813,10.564575107765558,20,4,True,0
ABC-SMC,101945.65217391303,13.747591125792349,10.519397363725117,20,4,True,0
ABC-SMC,104054.34782608695,14.145212674486462,10.487615691753922,20,4,True,0
ABC-SMC,105291.36690647481,14.454069240487733,10.442903264456806,20,4,True,0
ABC-SMC,107176.25899280574,14.846189030640415,10.405128393394373,20,4,True,0
ABC-SMC,108584.22939068101,15.202294669270943,10.363598875132382,20,4,True,0
ABC-SMC,217326.38888888888,29.500136193301945,10.333282592588267,20,4,True,0
ABC-SMC,222386.20689655174,29.354536286715806,10.306690443523145,20,4,True,0
ABC-SMC,227047.94520547945,29.994268613318877,10.2688639044265,20,4,True,0
ABC-SMC,229851.35135135136,30.387844346665048,10.237369826333051,20,4,True,0
ABC-SMC,233865.77181208055,30.97897992038087,10.208359916922054,20,4,True,0
ABC-SMC,239154.36241610738,31.820297321217176,10.174921358456716,20,4,True,0
ABC-SMC,242546.66666666666,32.37400166193644,10.146470732332473,20,4,True,0
ABC-SMC,244078.94736842104,32.710364853080954,10.124717947533588,20,4,True,0
ABC-SMC,246954.24836601308,33.250114107443615,10.078662826638164,20,4,True,0
ABC-SMC,247961.29032258067,33.57175588607788,10.012282701359343,20,4,True,0
ABC-SMC,251974.1935483871,34.32221458804223,9.977227833314236,20,4,True,0
ABC-SMC,252535.03184713374,34.610827409537734,9.922854305838065,20,4,True,0
ABC-SMC,252937.10691823898,34.91327117823954,9.902496616578599,20,4,True,0
ABC-SMC,256352.20125786163,35.6092356285959,9.885600147473017,20,4,True,0
ABC-SMC,257993.74999999997,36.131350100040436,9.877515546873745,20,4,True,0
ABC-SMC,469766.6666666667,64.53799684842429,9.857317313585101,20,4,True,0
ABC-SMC,464967.7419354839,63.736427599383944,9.81478586077459,20,4,True,0
ABC-SMC,464800.0,63.630024884876455,9.806173178401888,20,4,True,0
ABC-SMC,454898.9898989899,62.2504022386339,9.763221138801008,20,4,True,0
ABC-SMC,454198.0198019802,62.18564923446957,9.746165134369148,20,4,True,0
ABC-SMC,457578.431372549,62.72279187744739,9.680480118535916,20,4,True,0
ABC-SMC,460563.1067961165,63.25113553445316,9.64545880328717,20,4,True,0
ABC-SMC,463182.6923076923,63.745369934118706,9.639010237132268,20,4,True,0
ABC-SMC,461018.8679245283,63.652486508747316,9.611185097187757,20,4,True,0
ABC-SMC,454412.8440366973,62.973179620340325,9.550840400708305,20,4,True,0
ABC-SMC,452009.009009009,62.88550018190264,9.513410157641522,20,4,True,0
ABC-SMC,445456.1403508771,62.257392678344445,9.511697815303894,20,4,True,0
ABC-SMC,438974.3589743589,61.85908470398339,9.499477498601209,20,4,True,0
ABC-SMC,436218.487394958,61.79665056597285,9.447153607820391,20,4,True,0
ABC-SMC,440647.0588235294,62.73054585737341,9.395200240847423,20,4,True,0
ABC-SMC,437570.24793388427,62.6588430286439,9.374700900802345,20,4,True,0
ABC-SMC,749250.0,105.41239115926955,9.357703866508777,20,4,True,0
ABC-SMC,732133.3333333334,102.76599677403767,9.357327860753102,20,4,True,0
ABC-SMC,706974.6835443039,99.07878426056874,9.329348558627517,20,4,True,0
ABC-SMC,675714.2857142857,94.69401793820516,9.320402310823702,20,4,True,0
ABC-SMC,662425.2873563219,92.8692098321586,9.314681539621485,20,4,True,0
ABC-SMC,672045.9770114943,94.26007147493034,9.301749970372843,20,4,True,0
ABC-SMC,665921.3483146068,92.21250903740359,9.270950953535175,20,4,True,0
ABC-SMC,652456.5217391305,90.49523926299553,9.230823859029988,20,4,True,0
ABC-SMC,646255.3191489362,89.82307403645618,9.190039738030872,20,4,True,0
ABC-SMC,646663.1578947369,90.12326755021748,9.189549780514811,20,4,True,0
ABC-SMC,640041.2371134021,89.805196118109,9.15173541993973,20,4,True,0
ABC-SMC,627130.0,88.3100438117981,9.123456200797445,20,4,True,0
ABC-SMC,633420.0,88.33621037006378,9.123456200797445,20,4,True,0
ABC-SMC,609247.619047619,84.18784470785232,9.123456200797445,20,4,True,0
ABC-SMC,603738.3177570093,82.67034804709604,9.123456200797445,20,4,True,0
ABC-SMC,609616.8224299065,82.69472434141925,9.123456200797445,20,4,True,0
ABC-SMC,615495.3271028037,82.71896683167074,9.123456200797445,20,4,True,0
ABC-SMC,615620.3703703703,82.00473056899177,9.123456200797445,20,4,True,0
ABC-SMC,610145.4545454545,80.53769133307718,9.123456200797445,20,4,True,0
ABC-SMC,615863.6363636364,80.56109764359213,9.123456200797445,20,4,True,0
ABC-SMC,615981.981981982,79.85874317787788,9.123456200797445,20,4,True,0
ABC-SMC,616098.2142857143,79.16992721813065,9.123456200797445,20,4,True,0
ABC-SMC,615929.2035398228,79.50837380063216,9.116930420113244,20,4,True,0
ABC-SMC,615719.2982456139,78.86482498102019,9.062128536773425,20,4,True,0
ABC-SMC,604991.4529914529,76.89489778290445,9.062128536773425,20,4,True,0
ABC-SMC,599798.319327731,75.62423313365262,9.062128536773425,20,4,True,0
ABC-SMC,589901.6393442623,73.7859872520947,9.062128536773425,20,4,True,0
ABC-SMC,589918.6991869918,73.20688614031164,9.062128536773425,20,4,True,0
ABC-SMC,589935.4838709676,72.63715690182102,9.062128536773425,20,4,True,0
