method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
permABC-SMC,539763.5726795098,27.926880945883784,6164100.0,318.9249804019928,0.8730919560100635,-1.4561636059075208e-09,510.21849607693275,24.99148362733049,0.12635304881729667,10.29221798148819,0.34691383691945654,2.383961287215369,20,4,False,42
permABC-SMC,936984.8484848484,48.40997417767842,6184100.0,319.5058295726776,0.8700532726873671,-1.4561636059075208e-09,507.7739938430987,24.99148362733049,0.11338305149946595,10.279202600300426,0.3395248486843885,2.3791342849584742,20,4,False,42
permABC-SMC,883632.4786324786,45.59121770396872,6203100.0,320.05034828186035,0.8681669694949761,-1.4561636059075208e-09,507.72110708023604,24.99148362733049,0.11397930661298587,10.291126373401525,0.3392250654540548,2.3797763878192324,20,4,False,42
permABC-SMC,831713.9037433155,42.87285699563868,6221220.0,320.6889703273773,0.8661237884654094,-1.4561636059075208e-09,506.9881217212064,24.99148362733049,0.11270621947181225,10.29024937930632,0.3359525408739402,2.380578551688187,20,4,False,42
permABC-SMC,795716.8367346938,40.98286573984185,6238420.0,321.3056674003601,0.8645122724537386,-1.4561636059075208e-09,505.83547601304525,24.99148362733049,0.11160678682703315,10.284970538205865,0.3389370055250506,2.3820279046074386,20,4,False,42
permABC-SMC,783807.0175438597,40.45579427465759,6254780.0,322.8372383117676,0.863006679750206,-1.4561636059075208e-09,504.76464530512516,24.99148362733049,0.11047100510926793,10.281416141756814,0.33423850481823897,2.378844525014377,20,4,False,42
permABC-SMC,755460.2409638555,38.950594620532314,6270320.0,323.2899353504181,0.8612255264746093,-1.4561636059075208e-09,504.7655688547436,24.99148362733049,0.10880457085164111,10.29321969381523,0.33044675452158384,2.3801435899492227,20,4,False,42
permABC-SMC,742917.2576832153,38.37140333567952,6285080.0,324.62207221984863,0.857363526039307,-1.4561636059075208e-09,504.07766536949237,24.99148362733049,0.1126902824840887,10.292050877191814,0.33305126259191425,2.380689223876939,20,4,False,42
permABC-SMC,724034.4827586208,37.35972198946723,6299100.0,325.02958130836487,0.8551142495107437,-1.4561636059075208e-09,504.2417749385591,24.99148362733049,0.11424929337846428,10.295338929091912,0.3340573920496329,2.3824165020984225,20,4,False,42
permABC-SMC,706087.2483221476,36.40029942429305,6312420.0,325.41867685317993,0.8517164308078468,-1.4561636059075208e-09,503.08526046713445,24.99148362733049,0.11925688611651135,10.295204754249246,0.3364951332723608,2.3836468016027936,20,4,False,42
permABC-SMC,695061.5384615385,35.80068687816242,6325060.0,325.7862505912781,0.8482269328087071,-1.4561636059075208e-09,503.10521246774067,24.99148362733049,0.12112674465479774,10.299831872094689,0.3386664591416401,2.38628400606811,20,4,False,42
permABC-SMC,690313.7254901961,35.52683080203653,6337080.0,326.1363067626953,0.845261731392331,-1.4561636059075208e-09,502.87313954015804,24.99148362733049,0.12599208026455283,10.304249761485858,0.3438529361024483,2.3888235492471055,20,4,False,42
permABC-SMC,688557.4837310195,35.40893531931714,6348500.0,326.470383644104,0.8431277822284291,-1.4561636059075208e-09,502.68214644583867,24.99148362733049,0.1262552116468551,10.308383127456127,0.34325538115836285,2.388472013250509,20,4,False,42
permABC-SMC,669404.2105263157,34.41176861210874,6359340.0,326.91180181503296,0.8413248804667033,-1.4561636059075208e-09,503.6581910815272,24.99148362733049,0.13034386397083836,10.31886908476347,0.34640451949364126,2.3909079544400247,20,4,False,42
permABC-SMC,659380.9523809524,33.88787646224533,6369620.0,327.3568866252899,0.8395314407126766,-1.4561636059075208e-09,503.9831737498304,24.99148362733049,0.13091610129663192,10.327660962106542,0.34183487758657166,2.3916770084398653,20,4,False,42
permABC-SMC,1068498.3277591974,54.838311313386754,6389620.0,327.93310165405273,0.8353119416463268,-1.4561636059075208e-09,501.89959758917064,24.99148362733049,0.12219937997954411,10.324359157514671,0.3363502563137191,2.3884697949908986,20,4,False,42
permABC-SMC,1014022.1518987342,51.97514371026921,6408620.0,328.48290824890137,0.8331015919241364,-1.4561636059075208e-09,501.7550816159784,24.99148362733049,0.12699878143872892,10.324008011229129,0.3422123954663191,2.3916707204961676,20,4,False,42
permABC-SMC,979673.7804878047,50.153984129428856,6426660.0,329.01013588905334,0.831836751314588,-1.4561636059075208e-09,499.08711056841304,24.99148362733049,0.12829212037486043,10.314279480824394,0.3436685048320113,2.389586744810688,20,4,False,42
permABC-SMC,942073.0994152045,48.19556802336932,6443780.0,329.6576852798462,0.82940609429223,-1.4561636059075208e-09,498.0566008138388,24.99148362733049,0.13362334879436408,10.31257114252635,0.3467129327421845,2.3898431577440085,20,4,False,42
permABC-SMC,915019.8300283286,46.76041839480738,6460040.0,330.1285538673401,0.826390594914896,-1.4561636059075208e-09,497.0915237356283,24.99148362733049,0.13601445532800543,10.30810123623499,0.3459486981652968,2.3892268994250325,20,4,False,42
permABC-SMC,882228.8828337875,45.03786404711024,6475560.0,330.5779221057892,0.8233661992530003,-1.4561636059075208e-09,497.20941150842555,24.99148362733049,0.14112558463554695,10.312955265236626,0.35228095504371126,2.390455734546813,20,4,False,42
permABC-SMC,858505.2910052909,43.78320732444682,6490300.0,331.001047372818,0.8222196800110426,-1.4561636059075208e-09,494.0941151573001,24.99148362733049,0.13919482299552727,10.304669880551929,0.3475547511396161,2.384283277153716,20,4,False,42
permABC-SMC,840361.7571059432,42.934979671655704,6504400.0,332.3167426586151,0.8201310128743177,-1.4561636059075208e-09,494.1301161561513,24.99148362733049,0.1410316249299685,10.307318319015458,0.3477020969221417,2.386484244910999,20,4,False,42
permABC-SMC,831349.4897959183,42.456333035109,6517780.0,332.8576509952545,0.8173836925743049,-1.4561636059075208e-09,493.19796538059825,24.99148362733049,0.1422434586411167,10.307853427329235,0.34401644071311255,2.388245536973381,20,4,False,42
permABC-SMC,822478.5894206549,41.96765675052287,6530480.0,333.2231945991516,0.8147717799703824,-1.4561636059075208e-09,491.61085850883336,24.99148362733049,0.14728962222356307,10.303229023057357,0.3455142328262619,2.3878481048993394,20,4,False,42
permABC-SMC,807723.4567901233,41.19692967261796,6542560.0,333.69513034820557,0.812700298638672,-1.4561636059075208e-09,492.36102791129224,24.99148362733049,0.15112317213849996,10.317548645798968,0.3437488522384672,2.390159356889673,20,4,False,42
permABC-SMC,799280.487804878,40.85973754161742,6554100.0,335.0498478412628,0.8115427652095656,-1.4561636059075208e-09,492.5644630679561,24.99148362733049,0.14809748046868534,10.322564895450187,0.34535759359341245,2.3917733788206452,20,4,False,42
permABC-SMC,789069.7115384615,40.43425473456199,6565060.0,336.4129993915558,0.8100142417703641,-1.4561636059075208e-09,492.4378097492245,24.99148362733049,0.1476420770392229,10.325229080624899,0.33996881986172967,2.3910311606767785,20,4,False,42
permABC-SMC,786538.2775119618,40.381916687248996,6575460.0,337.5928235054016,0.8071953847002756,-1.4561636059075208e-09,492.23627023252413,24.99148362733049,0.15043672115523515,10.327434676442675,0.342373818163355,2.3914350862874394,20,4,False,42
permABC-SMC,1340540.650406504,68.76340421234688,6595460.0,338.3159487247467,0.805143664850886,-1.4561636059075208e-09,491.3152036431777,24.99148362733049,0.1426125999530264,10.3230870434768,0.33769912159463844,2.3881303098151916,20,4,False,42
permABC-SMC,1276926.640926641,65.44303406159389,6614480.0,338.9949164390564,0.8033033923840863,-1.4561636059075208e-09,490.2003128935513,24.99148362733049,0.14590198988534667,10.31925326270839,0.34136711493342037,2.387420382247893,20,4,False,42
