method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,K,K_outliers,include_osum,seed
permABC-SMC,390544.8430493274,3.7042667780221845,3483660.0,33.042059659957886,0.9195000965822929,-1.669372470637709e-09,514.438331832569,24.466884133506767,20,0,False,42
permABC-SMC,370262.156448203,3.4964374961611084,3502680.0,33.07629871368408,0.9153603767316808,-1.669372470637709e-09,514.3458010211718,24.466884133506767,20,0,False,42
permABC-SMC,352076.0,3.3105839490890503,3520760.0,33.1058394908905,0.9126690536396637,-1.669372470637709e-09,513.3929367100947,24.466884133506767,20,0,False,42
permABC-SMC,338881.2260536398,3.1794956589110503,3537920.0,33.19393467903137,0.9099922917025999,-1.669372470637709e-09,513.3504857278682,24.466884133506767,20,0,False,42
permABC-SMC,321942.0289855072,3.011736727279165,3554240.0,33.24957346916199,0.9055631904494136,-1.669372470637709e-09,512.3665380561534,24.466884133506767,20,0,False,42
permABC-SMC,311495.63699825486,2.9031955966982754,3569740.0,33.27062153816223,0.9024762398530513,-1.669372470637709e-09,512.1701223883831,24.466884133506767,20,0,False,42
permABC-SMC,304286.9269949066,2.829318135622604,3584500.0,33.32936763763428,0.8997144839894575,-1.669372470637709e-09,509.9839914138303,24.466884133506767,20,0,False,42
permABC-SMC,298883.7209302326,2.8068133960926653,3598560.0,33.79403328895569,0.8981799691128352,-1.669372470637709e-09,508.4767084699779,24.466884133506767,20,0,False,42
permABC-SMC,295089.86928104574,2.7673355699364657,3611900.0,33.87218737602234,0.8946030897341977,-1.669372470637709e-09,508.0807589210634,24.466884133506767,20,0,False,42
permABC-SMC,289501.5974440894,2.7076048211167794,3624560.0,33.89921236038208,0.8903896227645679,-1.669372470637709e-09,507.28688704983887,24.466884133506767,20,0,False,42
permABC-SMC,287249.60505529225,2.6817348707720376,3636580.0,33.950763463974,0.8867667622428506,-1.669372470637709e-09,506.5760268433113,24.466884133506767,20,0,False,42
permABC-SMC,284556.9422776911,2.6733696739684776,3648020.0,34.27259922027588,0.8833286365411372,-1.669372470637709e-09,505.70975853274626,24.466884133506767,20,0,False,42
permABC-SMC,283195.04643962847,2.6749884750082766,3658880.0,34.560851097106934,0.8809660249052038,-1.669372470637709e-09,504.5534766094968,24.466884133506767,20,0,False,42
permABC-SMC,281811.0599078341,2.678368681220598,3669180.0,34.87236022949219,0.8769777736289888,-1.669372470637709e-09,503.29488105264375,24.466884133506767,20,0,False,42
permABC-SMC,457714.64019851113,4.334778318334157,3689180.0,34.938313245773315,0.8731155082998013,-1.669372470637709e-09,501.7623112237808,24.466884133506767,20,0,False,42
permABC-SMC,409298.01324503316,3.8634743122075568,3708240.0,35.003077268600464,0.8697586120002956,-1.669372470637709e-09,500.67156758540636,24.466884133506767,20,0,False,42
permABC-SMC,385770.1863354037,3.6545882313888263,3726540.0,35.303322315216064,0.8683317459158327,-1.669372470637709e-09,499.23351129934366,24.466884133506767,20,0,False,42
permABC-SMC,366334.637964775,3.48428193836996,3743940.0,35.60936141014099,0.8649151783243021,-1.669372470637709e-09,497.6013218154361,24.466884133506767,20,0,False,42
permABC-SMC,354094.1619585687,3.3814446400787865,3760480.0,35.91094207763672,0.8619044305022425,-1.669372470637709e-09,495.5912040157858,24.466884133506767,20,0,False,42
permABC-SMC,345171.8464351005,3.309770476011732,3776180.0,36.20888900756836,0.8589010713571222,-1.669372470637709e-09,494.7228642454778,24.466884133506767,20,0,False,42
permABC-SMC,335495.575221239,3.2305983104537024,3791100.0,36.50576090812683,0.8564094293948254,-1.669372470637709e-09,494.18880180079873,24.466884133506767,20,0,False,42
permABC-SMC,328041.3793103448,3.170713453457273,3805280.0,36.78027606010437,0.854757933554125,-1.669372470637709e-09,492.03272847272694,24.466884133506767,20,0,False,42
permABC-SMC,324174.8726655348,3.15652699138596,3818780.0,37.18388795852661,0.852002655706564,-1.669372470637709e-09,491.64445790097625,24.466884133506767,20,0,False,42
permABC-SMC,321442.9530201342,3.144845386479525,3831600.0,37.48655700683594,0.8493220826223714,-1.669372470637709e-09,491.03157992004645,24.466884133506767,20,0,False,42
permABC-SMC,319250.83056478406,3.1353553070182416,3843780.0,37.749677896499634,0.8451432766403727,-1.669372470637709e-09,490.154337468284,24.466884133506767,20,0,False,42
permABC-SMC,314980.39215686277,3.111248585133771,3855360.0,38.08168268203735,0.8421326098107854,-1.669372470637709e-09,488.56371154752026,24.466884133506767,20,0,False,42
permABC-SMC,312812.2977346278,3.110468484051405,3866360.0,38.445390462875366,0.8392881311191867,-1.669372470637709e-09,487.0058182287888,24.466884133506767,20,0,False,42
permABC-SMC,309648.5623003195,3.098199066643517,3876800.0,38.78945231437683,0.8376422642508843,-1.669372470637709e-09,484.2541565938309,24.466884133506767,20,0,False,42
permABC-SMC,500874.03598971723,4.993909796589751,3896800.0,38.85261821746826,0.834198800932324,-1.669372470637709e-09,484.1352095280374,24.466884133506767,20,0,False,42
permABC-SMC,469527.57793764985,4.672089726518956,3915860.0,38.96522831916809,0.8316243231320838,-1.669372470637709e-09,483.04593777692696,24.466884133506767,20,0,False,42
permABC-SMC,445040.72398190043,4.4115034163807305,3934160.0,38.997690200805664,0.8291977897785067,-1.669372470637709e-09,482.71329083230137,24.466884133506767,20,0,False,42
permABC-SMC,428583.5140997831,4.264221610319589,3951540.0,39.316123247146606,0.8282257410081862,-1.669372470637709e-09,482.1530622932908,24.466884133506767,20,0,False,42
permABC-SMC,412488.5654885655,4.118017173854328,3968140.0,39.61532521247864,0.8253110782646044,-1.669372470637709e-09,482.99283130406064,24.466884133506767,20,0,False,42
permABC-SMC,399190.38076152303,3.9994346832703496,3983920.0,39.914358139038086,0.8231458673169149,-1.669372470637709e-09,481.5538114295768,24.466884133506767,20,0,False,42
permABC-SMC,386748.5493230174,3.8854941178106017,3998980.0,40.17600917816162,0.8203488470499491,-1.669372470637709e-09,480.5226897909644,24.466884133506767,20,0,False,42
permABC-SMC,382217.14285714284,3.854229654584612,4013280.0,40.46941137313843,0.8183240042313074,-1.669372470637709e-09,480.7687625147721,24.466884133506767,20,0,False,42
permABC-SMC,370799.26335174945,3.75065933055421,4026880.0,40.732160329818726,0.8157956035512064,-1.669372470637709e-09,480.564452383868,24.466884133506767,20,0,False,42
permABC-SMC,361989.24731182796,3.675873582935675,4039800.0,41.022749185562134,0.8134989062295406,-1.669372470637709e-09,479.79199567472983,24.466884133506767,20,0,False,42
permABC-SMC,359225.1773049645,3.662706393722101,4052060.0,41.3153281211853,0.8125187574601023,-1.669372470637709e-09,477.3072094975093,24.466884133506767,20,0,False,42
permABC-SMC,353368.69565217395,3.618317396744438,4063740.0,41.610650062561035,0.809593404044545,-1.669372470637709e-09,477.31183738336347,24.466884133506767,20,0,False,42
permABC-SMC,350072.16494845366,3.6003181409999683,4074840.0,41.907703161239624,0.807920553244231,-1.669372470637709e-09,475.7581689626361,24.466884133506767,20,0,False,42
permABC-SMC,347988.07495741063,3.5941266729234638,4085380.0,42.19504714012146,0.8062266488644705,-1.669372470637709e-09,474.57544209618777,24.466884133506767,20,0,False,42
permABC-SMC,347066.10169491527,3.6008167064796064,4095380.0,42.48963713645935,0.8021765688189122,-1.669372470637709e-09,473.8086256772582,24.466884133506767,20,0,False,42
permABC-SMC,542926.1213720316,5.614384466236688,4115380.0,42.5570342540741,0.8006544637096709,-1.669372470637709e-09,473.0632739579289,24.466884133506767,20,0,False,42
permABC-SMC,522020.20202020195,5.3864341191571175,4134400.0,42.660558223724365,0.7979167745938986,-1.669372470637709e-09,471.9656850935681,24.466884133506767,20,0,False,42
permABC-SMC,494340.47619047615,5.086823247727893,4152460.0,42.72931528091431,0.7961530943397547,-1.669372470637709e-09,472.8463579068712,24.466884133506767,20,0,False,42
permABC-SMC,478165.1376146789,4.910442916625137,4169600.0,42.81906223297119,0.7929473975502099,-1.669372470637709e-09,472.78369139337616,24.466884133506767,20,0,False,42
permABC-SMC,456000.0,4.695230215982674,4186080.0,43.10221338272095,0.7918697720162416,-1.669372470637709e-09,471.7300839511485,24.466884133506767,20,0,False,42
permABC-SMC,445097.4576271187,4.609128858073283,4201720.0,43.51017642021179,0.7910732008237831,-1.669372470637709e-09,471.5529400536841,24.466884133506767,20,0,False,42
permABC-SMC,432026.6393442623,4.486647468121325,4216580.0,43.789679288864136,0.7886449613834994,-1.669372470637709e-09,470.77778266541264,24.466884133506767,20,0,False,42
permABC-SMC,425625.754527163,4.432232614973901,4230720.0,44.056392192840576,0.7871206572626531,-1.669372470637709e-09,470.4162082872539,24.466884133506767,20,0,False,42
permABC-SMC,417730.3149606299,4.364595591552614,4244140.0,44.34429121017456,0.7851171320761025,-1.669372470637709e-09,470.0853817327834,24.466884133506767,20,0,False,42
permABC-SMC,415712.890625,4.358073743060231,4256900.0,44.62667512893677,0.7811323681688658,-1.669372470637709e-09,468.832115921257,24.466884133506767,20,0,False,42
permABC-SMC,413664.72868217056,4.349215802296188,4269020.0,44.883907079696655,0.7784264716954179,-1.669372470637709e-09,468.47820630947524,24.466884133506767,20,0,False,42
permABC-SMC,411590.3846153846,4.340275755295386,4280540.0,45.13886785507202,0.7764301151019259,-1.669372470637709e-09,468.0099856463114,24.466884133506767,20,0,False,42
permABC-SMC,404856.6037735848,4.282553195953368,4291480.0,45.39506387710571,0.7738337220635888,-1.669372470637709e-09,466.94622908305956,24.466884133506767,20,0,False,42
permABC-SMC,400545.62383612664,4.25029355942426,4301860.0,45.64815282821655,0.7709465704672387,-1.669372470637709e-09,466.3799961901093,24.466884133506767,20,0,False,42
permABC-SMC,648927.9279279279,6.862304625926432,4321860.0,45.702948808670044,0.7680739173008391,-1.669372470637709e-09,466.1078818847488,24.466884133506767,20,0,False,42
permABC-SMC,606265.3631284916,6.386267173223655,4340860.0,45.72567296028137,0.7658185437279016,-1.669372470637709e-09,465.91034186064394,24.466884133506767,20,0,False,42
permABC-SMC,584305.6300268096,6.137178954106553,4358920.0,45.78335499763489,0.7635623076680943,-1.669372470637709e-09,465.4679851125834,24.466884133506767,20,0,False,42
permABC-SMC,559601.0230179027,5.861993457960046,4376080.0,45.84078884124756,0.7619065669720803,-1.669372470637709e-09,464.35479750699426,24.466884133506767,20,0,False,42
permABC-SMC,539641.2776412778,5.634483922025789,4392680.0,45.86469912528992,0.7599007395374752,-1.669372470637709e-09,463.41588855849795,24.466884133506767,20,0,False,42
permABC-SMC,522327.0142180095,5.464875274359898,4408440.0,46.123547315597534,0.7582468840687597,-1.669372470637709e-09,463.1096933417437,24.466884133506767,20,0,False,42
